obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
166, 168.9, 39683, 827406, 11959, 182231, 66579, 280872, 180340, 988238, 45, 23, NA, 2577308,  X
167, 169.9, 1802514, 337014, 188766, 65837, 450772, 412092, 1330758, 312761, 81, 32, NA, 4900514,  X
168, 171.0, 294264, 8339, 693530, 26606, 210043, 567, 643048, 58358, 54, 53, NA, 1934755,  X
169, 172.0, 776228, 238388, 201956, 37998, 29049, 10973, 306720, 1159172, 5, 54, NA, 2760484,  X
170, 173.0, 303773, 60819, 48388, 916195, 43194, 117050, 125741, 558, 34, 62, NA, 1615718,  X
171, 174.0, 36057, 135145, 657022, 171262, 1546, 1355, 380216, 594232, 16, 43, NA, 1976835,  X
172, 175.0, 4809, 202021, 179864, 204033, 71, 424880, 377212, 47759, 94, 25, NA, 1440649,  X
173, 176.0, 10651, 137652, 104489, 240369, 722423, 420238, 46123, 292417, 51, 69, NA, 1974362,  X
174, 177.0, 403965, 283830, 102747, 37053, 69599, 353774, 151285, 86338, 87, 21, NA, 1488591,  X
175, 178.0, 231919, 14351, 1007, 61136, 29671, 69064, 55866, 230413, 6, 59, NA, 693427,  X
176, 179.0, 27034, 556743, 29475, 28414, 353325, 343940, 25380, 1966123, 72, 31, NA, 3330434,  X
177, 180.1, 82934, 318508, 1226124, 20954, 350344, 683045, 156099, 2126478, 44, 81, NA, 4964486,  X
178, 181.1, 1898, 634965, 1327823, 37167, 1093, 45835, 225, 175595, 25, 76, NA, 2224601,  X
179, 182.1, 4807, 10246, 31163, 353963, 223093, 433738, 564672, 683886, 35, 25, NA, 2305568,  X
180, 183.1, 10650, 799849, 746615, 706792, 7470, 874768, 864033, 37776, 62, 95, NA, 4047953,  X
181, 184.1, 60122, 22024, 462862, 72757, 825579, 151256, 1176758, 94484, 11, 12, NA, 2865842,  X
182, 185.1, 96, 586802, 371255, 61651, 2844976, 9343, 23513, 185872, 35, 2, NA, 4083508,  X
183, 186.1, 1081, 25126, 526333, 260521, 183546, 2493, 297616, 269723, 70, 62, NA, 1566439,  X
184, 187.1, 109906, 137367, 363228, 224, 61295, 142150, 148240, 23453, 30, 9, NA, 985863,  X
185, 188.2, 1089333, 139673, 67893, 1603099, 76474, 878051, 69947, 94039, 79, 75, NA, 4018509,  X
186, 189.2, 14448, 439022, 107764, 518161, 219427, 90692, 553829, 1687, 67, 43, NA, 1945030,  X
187, 190.2, 72860, 4731, 65875, 708210, 54447, 1465793, 455425, 13051, 16, 59, NA, 2840392,  X
188, 191.2, 40302, 70765, 88037, 204315, 39625, 1642463, 64600, 19227, 91, 32, NA, 2169334,  X
189, 192.2, 1978, 118215, 12108, 269361, 819177, 870, 710844, 671892, 86, 74, NA, 2604445,  X
190, 193.2, 157403, 17433, 697703, 229, 753, 689500, 156317, 25338, 36, 14, NA, 1744676,  X
191, 194.2, 41043, 11457, 13455, 324245, 53436, 1996269, 101872, 46776, 35, 3, NA, 2588553,  X
192, 195.2, 272939, 56971, 3435, 41440, 524994, 28926, 342268, 240374, 54, 94, NA, 1511347,  X
193, 196.3, 111597, 475182, 228975, 545641, 71, 207510, 396006, 368974, 4, 7, NA, 2333956,  X
194, 197.3, 440789, 20833, 239285, 371128, 442, 5751, 74470, 229103, 40, 100, NA, 1381801,  X
195, 198.3, 26159, 66974, 10204, 1660623, 393057, 452624, 1166381, 120567, 72, 86, NA, 3896589,  X
196, 199.3, 55174, 5, 237356, 146859, 221, 88479, 1994, 36483, 26, 60, NA, 566571,  X
197, 200.3, 195332, 11072, 21008, 48763, 176561, 444878, 26997, 212124, 4, 66, NA, 1136735,  X
198, 201.3, 4417, 69101, 107508, 84, 39, 11545, 2089, 7605, 20, 14, NA, 202388,  X
199, 202.3, 518875, 1370, 47856, 119070, 1001407, 171097, 193069, 240404, 10, 6, NA, 2293148,  X
200, 203.4, 36970, 1323308, 30, 605846, 747910, 220, 2557, 31126, 2, 16, NA, 2747967,  X
201, 204.4, 770, 367849, 634381, 414120, 41689, 55914, 410569, 59716, 13, 61, NA, 1985008,  X
202, 205.4, 598902, 132627, 49585, 672848, 100890, 140919, 176130, 470410, 21, 12, NA, 2342311,  X
203, 206.4, 163707, 438370, 2264, 129346, 677726, 63265, 4622, 19091, 50, 11, NA, 1498391,  X
204, 207.4, 569355, 148169, 24317, 840097, 913422, 759126, 998135, 305486, 29, 52, NA, 4558107,  X
205, 208.4, 1149194, 22700, 21956, 4804, 481269, 58506, 87899, 500342, 97, 50, NA, 2326670,  X
206, 209.4, 4276, 41329, 1210400, 690913, 706752, 126621, 268415, 163496, 45, 71, NA, 3212202,  X
207, 210.4, 328, 1816348, 21741, 396905, 102523, 63060, 918229, 395238, 97, 32, NA, 3714372,  X
208, 211.5, 12015, 113540, 366186, 135350, 200572, 540394, 27578, 1018036, 10, 97, NA, 2413671,  X
209, 212.5, 3249, 1168200, 1021544, 225034, 125688, 21345, 2583873, 32248, 56, 41, NA, 5181181,  X
210, 213.5, 312854, 10938, 742725, 200854, 54, 113707, 70788, 197951, 66, 96, NA, 1649871,  X
211, 214.5, 37258, 1717, 15544, 77344, 238411, 319402, 52656, 85988, 74, 57, NA, 828320,  X
212, 215.5, 2355532, 150494, 276392, 362183, 287, 17953, 739874, 24001, 16, 9, NA, 3926716,  X
213, 216.5, 50342, 162460, 32301, 63021, 306782, 699286, 20294, 115360, 21, 83, NA, 1449846,  X
214, 217.5, 336007, 74665, 275493, 507563, 375285, 90211, 845846, 692954, 35, 79, NA, 3198024,  X
215, 218.5, 2123, 3331, 568819, 115856, 23659, 342003, 416913, 170385, 73, 26, NA, 1643089,  X
216, 219.6, 889022, 626338, 97364, 18007, 246624, 128280, 62199, 159511, 15, 83, NA, 2227345,  X
217, 220.6, 45124, 219834, 1844, 69518, 456241, 312050, 75913, 25461, 56, 60, NA, 1205985,  X
218, 221.6, 479658, 143733, 450141, 339286, 93093, 216596, 134910, 13485, 5, 84, NA, 1870902,  X
219, 222.6, 2173, 58652, 15183, 418829, 15445, 720237, 26354, 769, 51, 93, NA, 1257642,  X
220, 223.6, 109005, 237888, 1038944, 124357, 127966, 69730, 99232, 719076, 47, 54, NA, 2526198,  X
221, 224.6, 14882, 663245, 2340, 896, 677772, 190495, 223419, 12417, 12, 66, NA, 1785466,  X
222, 225.6, 563507, 3190, 16485, 1807, 367258, 158393, 286667, 63295, 75, 96, NA, 1460602,  X
223, 226.6, 93370, 340772, 180520, 719330, 53667, 45976, 520526, 18817, 38, 76, NA, 1972978,  X
224, 227.7, 221366, 885091, 4291, 14428, 105665, 12519, 1184504, 275606, 46, 21, NA, 2703470,  X
225, 228.7, 2506, 65620, 353889, 237314, 307083, 55765, 656728, 783459, 86, 41, NA, 2462364,  X
226, 229.7, 81638, 150563, 2359, 255, 309383, 188, 7941, 82739, 39, 37, NA, 635066,  X
227, 230.7, 1292563, 21752, 159939, 186488, 304805, 6723, 90146, 168319, 98, 22, NA, 2230735,  X
228, 231.7, 85693, 705039, 657464, 1476904, 755495, 702, 22325, 153190, 68, 18, NA, 3856812,  X
229, 232.7, 320952, 101251, 660, 3050, 872070, 1284, 30, 274513, 94, 54, NA, 1573810,  X
230, 233.7, 903089, 97560, 2742, 5402, 7858, 857916, 294496, 194066, 66, 84, NA, 2363129,  X
231, 234.7, 202470, 1010965, 381631, 791516, 381066, 235882, 108072, 129673, 83, 32, NA, 3241275,  X
232, 235.8, 195426, 9861, 1622463, 1113349, 11, 22147, 342830, 520110, 95, 71, NA, 3826197,  X
233, 236.8, 555917, 241314, 450279, 24388, 359706, 1183239, 275585, 13843, 61, 81, NA, 3104271,  X
